cancer,option,n,mean,median,q1,q3,gt_0p4
BRCA,Independent,1000,0.252877952303051,0.2653351248382695,0.15084618645468656,0.360330503688932,164
BRCA,Joint Shared+Specific,1000,0.2073327546143356,0.21631108551934045,0.08560344718316949,0.3268861052051269,134
BRCA,Joint Single-Head,1000,0.07806667130618052,0.07783767730420971,-0.060192994100220276,0.21030198178864437,52
LUAD,Independent,1000,0.2855530477631924,0.29835992222748253,0.18720826013885736,0.3926265546337361,226
LUAD,Joint Shared+Specific,1000,0.3007885061149348,0.315036659109458,0.19967499472872124,0.4174736310125719,295
LUAD,Joint Single-Head,1000,0.10657310098322342,0.09506844216609844,-0.0476982265928158,0.25278932509682805,97
SKCM,Independent,1000,0.1754694361741484,0.16098860626616654,0.06574650188485402,0.27512325239792607,98
SKCM,Joint Shared+Specific,1000,0.2195809263975972,0.21206108876968466,0.11894924260182595,0.31651634676642193,133
SKCM,Joint Single-Head,1000,0.07754728550651216,0.0683441377138815,-0.049105539086503405,0.19725144331496597,39
