space,cancer,method,mean_pearson,median_pearson,n_targets
PCA space,BRCA,Single-cancer,0.3438951298594475,0.3572482615709305,8
PCA space,BRCA,Mixed single-head,0.4121761620044708,0.3837254345417022,8
PCA space,BRCA,Mixed dual-head,0.4036879688501358,0.3626904338598251,8
PCA space,LUAD,Single-cancer,0.3867424950003624,0.4481460601091385,8
PCA space,LUAD,Mixed single-head,0.477007046341896,0.498308777809143,8
PCA space,LUAD,Mixed dual-head,0.4580775462090969,0.4679122418165207,8
PCA space,SKCM,Single-cancer,0.3282982688397169,0.3122450709342956,8
PCA space,SKCM,Mixed single-head,0.4080600664019584,0.4143087267875671,8
PCA space,SKCM,Mixed dual-head,0.4084451887756586,0.4465778023004532,8
Original SE space,BRCA,Single-cancer,0.1988350369005202,0.2125009298324585,3000
Original SE space,BRCA,Mixed single-head,0.2268970705892619,0.2370398566126823,3000
Original SE space,BRCA,Mixed dual-head,0.2162368772187486,0.2217493504285812,3000
Original SE space,LUAD,Single-cancer,0.2476187027699488,0.2605106085538864,3000
Original SE space,LUAD,Mixed single-head,0.2471639011285733,0.2553571164608001,3000
Original SE space,LUAD,Mixed dual-head,0.2517880787390555,0.2626870274543762,3000
Original SE space,SKCM,Single-cancer,0.1784898653533115,0.1866785660386085,3000
Original SE space,SKCM,Mixed single-head,0.1987655018073613,0.2048720046877861,3000
Original SE space,SKCM,Mixed dual-head,0.205602072578252,0.2168649360537529,3000
